,abstract,web_url,snippet,lead_paragraph,source,headline,pub_date,meta.article_type,meta.arguments
0,Audiobooks are an example of a technology developed by or for people with disabilities that has helped all of us.,https://www.nytimes.com/2021/10/14/technology/audiobooks-innovation.html,,"To hear more audio stories from publications like The New York Times, download Audm for iPhone or Android.",The New York Times,‘Disability Drives Innovation’,2021-10-14 16:41:14+00:00,general_mkt,"('corporate governance', 'cybersecurity', 'innovation')"
1,"The tech giant, which is wrapping up its arguments in the federal monopoly trial, has framed itself as a good corporate citizen that has pushed innovation and helped consumers.",https://www.nytimes.com/2023/11/14/technology/google-antitrust-trial-defense.html,,"Over the past two and a half weeks, Google has called a dozen witnesses to defend itself against claims by the Justice Department and a group of state attorneys general that it illegally maintained a search and advertising monopoly, in a landmark antitrust case that could reshape tech power.",The New York Times,What Google Argued to Defend Itself in Landmark Antitrust Trial,2023-11-14 10:03:25+00:00,general_mkt,"('corporate governance', 'cybersecurity', 'innovation')"
2,"The tech giant has dropped its plans to develop an electric vehicle, but some of the development at the heart of the effort has helped power other products and services.",https://www.nytimes.com/2024/02/28/business/dealbook/apple-car-project-to-drive-wider-innovation.html,,"Has Apple really crashed the car? The tech giant has killed its electric vehicle project as it pivots to artificial intelligence, prompting many observers to declare the venture a major failure for the company.",The New York Times,How Apple Used its Car Project to Drive Wider Innovation,2024-02-28 13:06:19+00:00,general_mkt,"('corporate governance', 'cybersecurity', 'innovation')"
3,"Next year we need more creative ways to bring us together. (Laundry robots would be cool, too.)",https://www.nytimes.com/2021/12/21/technology/tech-innovations-2022.html,,This article is part of the On Tech newsletter. Here is a collection of past columns.,The New York Times,The Tech I Want in 2022,2021-12-21 17:42:46+00:00,general_mkt,"('corporate governance', 'cybersecurity', 'innovation')"
4,"Unscrupulous, boundary-pushing executives seem to be an inescapable part of the most exciting technology.",https://www.nytimes.com/2021/08/03/technology/innovation-invites-hucksters.html,,This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,The New York Times,Innovation Invites Hucksters,2021-08-03 16:24:12+00:00,general_mkt,"('corporate governance', 'cybersecurity', 'innovation')"
5,Take roof trusses.,https://www.nytimes.com/2022/07/21/technology/boring-innovation.html,,Many of us are intrigued by wonders that scream “THE FUTURE” like flying cars. But sometimes the best inventions are more about brain power than technology magic. Let me give you a couple of examples in my quest to appreciate the ingenuity in boring things.,The New York Times,You Can Be Both Dull and Innovative,2022-07-21 17:03:34+00:00,general_mkt,"('corporate governance', 'cybersecurity', 'innovation')"
6,The tech industry has grown ever more rich off big ideas that were developed more than a decade ago. New things like quantum computing and self-driving cars could take a while.,https://www.nytimes.com/2022/01/24/technology/silicon-valley-next-big-thing.html,,"In the fall of 2019, Google told the world it had reached “quantum supremacy.”",The New York Times,Why Is Silicon Valley Still Waiting for the Next Big Thing?,2022-01-24 10:00:18+00:00,general_mkt,"('corporate governance', 'cybersecurity', 'innovation')"
7,The strong earnings were driven by growth in the company’s grocery and e-commerce business and its strategy of keeping prices low as inflation rises.,https://www.nytimes.com/2021/11/16/business/walmart-3q-2021-earnings.html,,"In a difficult retail environment of rising prices and snarled supply chains, Walmart said on Tuesday that its third-quarter sales rose and earnings topped Wall Street’s expectations.",The New York Times,Walmart beats expectations amid supply chain woes and labor costs.,2021-11-16 13:37:57+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
8,New data shows how bottlenecks and the Delta variant slowed economic growth in the third quarter. Relief may be slow.,https://www.nytimes.com/2021/10/28/business/economy/us-3q-gdp-report.html,,"Economic growth slowed sharply over the summer, the government reported Thursday, reflecting the resurgent pandemic’s impact in keeping consumers at home and the supply-chain bottlenecks that led to empty shelves and higher prices.",The New York Times,U.S. Recovery Hurt by Virus Surge and Supply Chain Troubles,2021-10-28 09:01:34+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
9,Confession: We didn’t even have a logistics beat before the pandemic. Now we do. Here’s what we’ve learned about the global supply chain disruption.,https://www.nytimes.com/2021/10/22/business/shortages-supply-chain.html,,"Computer chips. Exercise equipment. Breakfast cereal. By now, you’ve probably heard: The world has run short of a great many products.",The New York Times,"How the Supply Chain Broke, and Why It Won’t Be Fixed Anytime Soon",2021-10-22 11:57:42+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
10,"Governments must start addressing the soaring debt used to finance pandemic aid measures, the Organization for Economic Cooperation and Development said.",https://www.nytimes.com/2021/10/19/business/global-economic-growth-pandemic-oecd.html,,"The global economy’s setback from the pandemic is expected to largely stabilize by the end of next year, the Organization for Economic Cooperation and Development said Tuesday, with most major economies returning to a prepandemic growth path by 2025 at the latest.",The New York Times,"Global economic growth will stabilize next year, but supply chain shock remains a risk, a report says.",2021-10-19 12:49:52+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
11,"Some independent stores ordered in bulk well in advance, and now are hoping they’re able to sell what they have.",https://www.nytimes.com/2021/11/30/business/small-retailers-hoarding-supply-chain.html,,Megan Searfoss has been hoarding sneakers in Connecticut.,The New York Times,Supply Chain Problems Have Small Retailers Gambling on Hoarding,2021-11-30 10:00:20+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
12,"The battered industry’s next generation of leaders needs a complex set of skills, yet scaled-down store training programs aren’t meeting demand.",https://www.nytimes.com/2023/02/16/business/retail-executives.html,,One of the hardest-to-find items in retail right now is a chief executive.,The New York Times,The Retail C.E.O. Pipeline Is Running Dry,2023-02-16 10:00:20+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
13,"Ngozi Okonjo-Iweala, the World Trade Organization’s director general, said bringing more countries into international production networks could make supply chains more resilient.",https://www.nytimes.com/2022/03/21/business/world-trade-organization-supply-chains.html,,"Ngozi Okonjo-Iweala, the director general of the World Trade Organization, called Monday for addressing choke points in global supply chains by bringing more countries into international production networks, something she termed “reglobalization.”",The New York Times,W.T.O. chief calls for deeper global trade to address supply chain disruptions.,2022-03-21 18:41:05+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
14,The maker of luxury electric cars that hopes to challenge Tesla struggled to get parts and build vehicles in the second quarter.,https://www.nytimes.com/2022/08/03/business/lucid-motors-production-second-quarter.html,,"Lucid Motors, a maker of widely praised electric cars that the company has struggled to mass-produce, cut its production target for the year by almost half on Wednesday after delivering just 679 vehicles in the second quarter.",The New York Times,"Lucid Motors slashes production forecast, blaming supply chain chaos.",2022-08-03 20:36:55+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
15,"The heads of the Federal Reserve, European Central Bank, Bank of England and Bank of Japan spoke on a joint panel Wednesday.",https://www.nytimes.com/2021/09/29/business/central-bankers-supply-chains-inflation.html,,"The world’s top central bankers acknowledged that inflation, which has spiked higher across many advanced economies this year, could remain elevated for some time — and that though they still expect it to fade as pandemic-related supply disruptions calm, they are carefully watching to make sure that hot price pressures do not become more permanent.",The New York Times,The world’s top central bankers see supply chain problems prolonging inflation.,2021-09-29 19:07:46+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
